rosca_id,outcome_amtinvest_healthproducts,outcome_illness_untreated_3mo,treat_safe_box,treat_locked_box,treat_health_pot,treat_health_savings,any_treatment,covariate_rosbg_monthly_contrib,covariate_female,covariate_b1_age,covariate_provider,covariate_hyperbolic,covariate_pat_now_impat_later,covariate_max_discount,covariate_n_roscas,control_group,maxn
1350,20,0,0,0,1,0,1,200,1,30,0,0,0,1,2,0,10
1350,80,0,0,0,1,0,1,200,1,45,0,0,0,1,1,0,10
1350,120,0,0,0,1,0,1,200,0,49,0,1,0,0,1,0,10
1350,500,0,0,0,1,0,1,200,1,20,0,0,0,1,1,0,10
1350,500,0,0,0,1,0,1,200,0,21,0,0,1,0,1,0,10
1350,0,1,0,0,1,0,1,200,1,34,0,0,0,1,1,0,10
1350,340,1,0,0,1,0,1,200,0,23,0,0,1,0,1,0,10
1350,0,0,0,0,1,0,1,200,1,26,0,0,0,1,1,0,10
1350,60,0,0,0,1,0,1,200,1,60,0,0,0,1,1,0,10
1350,60,1,0,0,1,0,1,200,1,23,0,0,0,0,1,0,10
1351,0,0,0,0,0,1,1,400,0,25,0,1,0,0,1,0,10
1351,0,1,0,0,0,1,1,400,0,47,0,0,0,1,1,0,10
1351,560,0,0,0,0,1,1,400,0,33,0,0,1,0,1,0,10
1351,190,0,0,0,0,1,1,400,0,22,0,1,0,0,1,0,10
1351,60,0,0,0,0,1,1,400,0,33,0,0,0,1,1,0,10
1351,0,0,0,0,0,1,1,400,0,32,0,0,0,1,1,0,10
1351,610,0,0,0,0,1,1,400,0,46,1,0,0,1,1,0,10
1351,350,1,0,0,0,1,1,400,0,28,0,1,0,0,1,0,10
1351,110,0,0,0,0,1,1,400,0,31,1,0,0,1,1,0,10
1354,25,0,0,0,1,0,1,400,1,28,0,0,1,0,2,0,4
1354,40,0,0,0,1,0,1,400,0,25,1,0,0,0,2,0,4
1354,145,0,0,0,1,0,1,400,1,27,0,0,0,1,1,0,4
2004,670,0,0,0,0,1,1,40,0,27,0,1,0,0,1,0,8
2004,1270,0,0,0,0,1,1,40,1,29,0,0,1,0,1,0,8
2004,140,0,0,0,0,1,1,40,1,25,0,0,0,1,1,0,8
2004,20,0,0,0,0,1,1,40,1,28,0,0,1,0,1,0,8
2004,50,0,0,0,0,1,1,40,0,24,0,1,0,0,1,0,8
2004,1870,0,0,0,0,1,1,40,0,24,1,0,0,1,2,0,8
